,index,action,appPackage,category,contactSignificantContext,numberUpdates,p1,p2,p3,p4,p5,p6,posted,postedDayOfWeek,postedTimeOfDay,priority,removed,response,subject,n_embeddings,c_embeddings
0,56,False,wia,unknown,False,-0.47957885,-0.8975381,0.58880126,-0.2854972,-0.3554177,0.21488559000000002,0.67758274,1530425894738.086,4,morn,0,1530425954738.086,short,unknown,"[-0.051805995404720306, -0.04173704609274864, -0.04665195941925049, -0.27809587121009827, 0.23719505965709686, -0.033845920115709305, 0.016739724203944206, 0.36520081758499146, 0.2218155413866043, -0.0882997140288353, -0.1785488724708557, 0.007363064680248499, 0.18767984211444855, -0.2060362696647644, -0.36508381366729736, 0.10868588835000992, -0.1349344700574875, -0.2116074115037918, 0.011431152932345867, -0.11851395666599274, 0.35563841462135315, 0.273383766412735, 0.09869085997343063, 0.08302665501832962, -0.054269939661026, -0.326057106256485, 0.2738562524318695, 0.03229018300771713, -0.03336385264992714, 0.06252653896808624, -0.5370887517929077, 0.49725255370140076, -0.09379416704177856, -0.049655113369226456, -0.7825281023979187, 0.09492943435907364, -0.40674132108688354, -0.18452197313308716, 0.31744369864463806, 0.09017546474933624, 0.4054000973701477, 0.1637757271528244, 0.36076483130455017, 0.15852788090705872, -0.0726359635591507, 0.06960348039865494, -0.06123419478535652, -0.04172341898083687, 0.25612005591392517, -0.028532428666949272, -0.25306129455566406, -0.8671806454658508, 0.09312500804662704, -0.07886325567960739, -0.2133556753396988, -0.06983808428049088, 0.346243292093277, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
1,33,True,whatsapp,unknown,True,-1.0296574,2.2793388,-0.7560756,-0.6789683,0.89573264,-0.11235875000000001,0.87001324,1530426434738.086,4,morn,1,1530427514738.086,medium,unknown,"[0.1988324671983719, 0.010035494342446327, -0.02777530811727047, -0.12013517320156097, -0.131544291973114, 0.056838687509298325, 0.0267773550003767, -0.08017965406179428, -0.08156361430883408, 0.1054358184337616, -0.2383010983467102, -0.5886416435241699, -0.05603644251823425, -0.08648607134819031, 0.08949396014213562, 0.11257611215114594, 0.24009071290493011, 0.05017862841486931, 0.19768448173999786, -0.09610418230295181, 0.06501158326864243, 0.006978239864110947, -0.2353954315185547, -0.03225647285580635, 0.08558981120586395, -0.09908807277679443, -0.04560454934835434, -0.0017780906055122614, -0.02545516937971115, 0.05686108395457268, -0.1048756092786789, -0.39048850536346436, 0.021501217037439346, 0.5179013013839722, 0.08593878895044327, 0.016632964834570885, -0.31265872716903687, 0.004846451338380575, -0.2058350294828415, -0.024987323209643364, 0.08240312337875366, -0.24793978035449982, -0.0060980492271482944, -0.03438890352845192, -0.3235475420951843, -0.18448691070079803, 0.2655058205127716, 0.14361725747585297, -0.15806566178798676, 0.3821435868740082, -0.25306129455566406, -0.8671806454658508, 0.09312500804662704, -0.07886325567960739, -0.2133556753396988, -0.06983808428049088, 0.346243292093277, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
2,70,True,whatsapp,msg,True,16.921385,1.7668613,-0.66822845,0.07205526,0.15131609999999998,0.03792953,1.1496260999999999,1530428354738.086,4,morn,1,1530428894738.086,medium,unknown,"[0.1988324671983719, 0.010035494342446327, -0.02777530811727047, -0.12013517320156097, -0.131544291973114, 0.056838687509298325, 0.0267773550003767, -0.08017965406179428, -0.08156361430883408, 0.1054358184337616, -0.2383010983467102, -0.5886416435241699, -0.05603644251823425, -0.08648607134819031, 0.08949396014213562, 0.11257611215114594, 0.24009071290493011, 0.05017862841486931, 0.19768448173999786, -0.09610418230295181, 0.06501158326864243, 0.006978239864110947, -0.2353954315185547, -0.03225647285580635, 0.08558981120586395, -0.09908807277679443, -0.04560454934835434, -0.0017780906055122614, -0.02545516937971115, 0.05686108395457268, -0.1048756092786789, -0.39048850536346436, 0.021501217037439346, 0.5179013013839722, 0.08593878895044327, 0.016632964834570885, -0.31265872716903687, 0.004846451338380575, -0.2058350294828415, -0.024987323209643364, 0.08240312337875366, -0.24793978035449982, -0.0060980492271482944, -0.03438890352845192, -0.3235475420951843, -0.18448691070079803, 0.2655058205127716, 0.14361725747585297, -0.15806566178798676, 0.3821435868740082, 0.44675958156585693, -0.7627975344657898, 0.6358047127723694, -0.08180944621562958, 0.14215664565563202, -0.6175026893615723, -0.2808590531349182, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
3,24,True,whatsapp,msg,False,-9.939955,1.3481864,0.73460513,0.77441,0.21831428,0.5205428,0.7095513999999999,1530428594738.086,4,morn,0,1530428894738.086,medium,unknown,"[0.1988324671983719, 0.010035494342446327, -0.02777530811727047, -0.12013517320156097, -0.131544291973114, 0.056838687509298325, 0.0267773550003767, -0.08017965406179428, -0.08156361430883408, 0.1054358184337616, -0.2383010983467102, -0.5886416435241699, -0.05603644251823425, -0.08648607134819031, 0.08949396014213562, 0.11257611215114594, 0.24009071290493011, 0.05017862841486931, 0.19768448173999786, -0.09610418230295181, 0.06501158326864243, 0.006978239864110947, -0.2353954315185547, -0.03225647285580635, 0.08558981120586395, -0.09908807277679443, -0.04560454934835434, -0.0017780906055122614, -0.02545516937971115, 0.05686108395457268, -0.1048756092786789, -0.39048850536346436, 0.021501217037439346, 0.5179013013839722, 0.08593878895044327, 0.016632964834570885, -0.31265872716903687, 0.004846451338380575, -0.2058350294828415, -0.024987323209643364, 0.08240312337875366, -0.24793978035449982, -0.0060980492271482944, -0.03438890352845192, -0.3235475420951843, -0.18448691070079803, 0.2655058205127716, 0.14361725747585297, -0.15806566178798676, 0.3821435868740082, 0.44675958156585693, -0.7627975344657898, 0.6358047127723694, -0.08180944621562958, 0.14215664565563202, -0.6175026893615723, -0.2808590531349182, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
4,61,True,whatsapp,unknown,False,-12.236179,0.056745157000000004,0.50446004,-0.5003103600000001,0.14425278,0.5415525999999999,0.45065504,1530428954738.086,4,morn,0,1530430514738.086,medium,unknown,"[0.1988324671983719, 0.010035494342446327, -0.02777530811727047, -0.12013517320156097, -0.131544291973114, 0.056838687509298325, 0.0267773550003767, -0.08017965406179428, -0.08156361430883408, 0.1054358184337616, -0.2383010983467102, -0.5886416435241699, -0.05603644251823425, -0.08648607134819031, 0.08949396014213562, 0.11257611215114594, 0.24009071290493011, 0.05017862841486931, 0.19768448173999786, -0.09610418230295181, 0.06501158326864243, 0.006978239864110947, -0.2353954315185547, -0.03225647285580635, 0.08558981120586395, -0.09908807277679443, -0.04560454934835434, -0.0017780906055122614, -0.02545516937971115, 0.05686108395457268, -0.1048756092786789, -0.39048850536346436, 0.021501217037439346, 0.5179013013839722, 0.08593878895044327, 0.016632964834570885, -0.31265872716903687, 0.004846451338380575, -0.2058350294828415, -0.024987323209643364, 0.08240312337875366, -0.24793978035449982, -0.0060980492271482944, -0.03438890352845192, -0.3235475420951843, -0.18448691070079803, 0.2655058205127716, 0.14361725747585297, -0.15806566178798676, 0.3821435868740082, -0.25306129455566406, -0.8671806454658508, 0.09312500804662704, -0.07886325567960739, -0.2133556753396988, -0.06983808428049088, 0.346243292093277, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
5,12,True,whatsapp,unknown,True,-3.115724,1.4237084,-0.28963706,-0.27753323,0.5736465,0.03859931,-0.42162659999999996,1530429134738.086,4,morn,1,1530429974738.086,medium,unknown,"[0.1988324671983719, 0.010035494342446327, -0.02777530811727047, -0.12013517320156097, -0.131544291973114, 0.056838687509298325, 0.0267773550003767, -0.08017965406179428, -0.08156361430883408, 0.1054358184337616, -0.2383010983467102, -0.5886416435241699, -0.05603644251823425, -0.08648607134819031, 0.08949396014213562, 0.11257611215114594, 0.24009071290493011, 0.05017862841486931, 0.19768448173999786, -0.09610418230295181, 0.06501158326864243, 0.006978239864110947, -0.2353954315185547, -0.03225647285580635, 0.08558981120586395, -0.09908807277679443, -0.04560454934835434, -0.0017780906055122614, -0.02545516937971115, 0.05686108395457268, -0.1048756092786789, -0.39048850536346436, 0.021501217037439346, 0.5179013013839722, 0.08593878895044327, 0.016632964834570885, -0.31265872716903687, 0.004846451338380575, -0.2058350294828415, -0.024987323209643364, 0.08240312337875366, -0.24793978035449982, -0.0060980492271482944, -0.03438890352845192, -0.3235475420951843, -0.18448691070079803, 0.2655058205127716, 0.14361725747585297, -0.15806566178798676, 0.3821435868740082, -0.25306129455566406, -0.8671806454658508, 0.09312500804662704, -0.07886325567960739, -0.2133556753396988, -0.06983808428049088, 0.346243292093277, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
6,55,True,googlequicksearchbox,unknown,False,-0.42001706,0.072424784,0.8198477,0.37210977,-1.0063155,0.28814593,1.8940698999999999,1530429194738.086,4,morn,0,1530430754738.086,medium,unknown,"[-0.15522760152816772, 0.1602586805820465, -0.51402747631073, 0.16599434614181519, -0.1681099385023117, -0.028871824964880943, 0.13573722541332245, -0.05713567137718201, 0.013803940266370773, -0.2558591961860657, -0.366482138633728, 0.10868094861507416, -0.12464041262865067, 0.1609119474887848, 0.30371224880218506, 0.6624284982681274, -0.36736705899238586, -0.056233279407024384, -0.2619503140449524, -0.14056064188480377, -0.11747899651527405, -0.014641880989074707, -0.009463528171181679, -0.2605415880680084, -0.2811245322227478, 0.04202199727296829, -0.1336365044116974, -0.14513806998729706, -0.20098330080509186, 0.18495099246501923, 0.3000860810279846, -0.34738561511039734, -0.18693575263023376, -0.37249454855918884, 0.008464044891297817, -0.013007596135139465, 0.2899177074432373, -0.23858802020549774, 0.0959537997841835, 0.418962299823761, -0.34765884280204773, 0.06668660044670105, -0.4948941469192505, 0.1946016103029251, 0.0861329734325409, 0.561610758304596, -0.4935741722583771, -0.14412091672420502, -0.00046465187915600836, -0.4126763343811035, -0.25306129455566406, -0.8671806454658508, 0.09312500804662704, -0.07886325567960739, -0.2133556753396988, -0.06983808428049088, 0.346243292093277, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
7,40,True,whatsapp,unknown,False,2.273123,0.95415574,0.35246995000000003,-0.061680740000000005,0.19359718,0.28973162,0.08972141,1530429674738.086,4,morn,0,1530429974738.086,medium,unknown,"[0.1988324671983719, 0.010035494342446327, -0.02777530811727047, -0.12013517320156097, -0.131544291973114, 0.056838687509298325, 0.0267773550003767, -0.08017965406179428, -0.08156361430883408, 0.1054358184337616, -0.2383010983467102, -0.5886416435241699, -0.05603644251823425, -0.08648607134819031, 0.08949396014213562, 0.11257611215114594, 0.24009071290493011, 0.05017862841486931, 0.19768448173999786, -0.09610418230295181, 0.06501158326864243, 0.006978239864110947, -0.2353954315185547, -0.03225647285580635, 0.08558981120586395, -0.09908807277679443, -0.04560454934835434, -0.0017780906055122614, -0.02545516937971115, 0.05686108395457268, -0.1048756092786789, -0.39048850536346436, 0.021501217037439346, 0.5179013013839722, 0.08593878895044327, 0.016632964834570885, -0.31265872716903687, 0.004846451338380575, -0.2058350294828415, -0.024987323209643364, 0.08240312337875366, -0.24793978035449982, -0.0060980492271482944, -0.03438890352845192, -0.3235475420951843, -0.18448691070079803, 0.2655058205127716, 0.14361725747585297, -0.15806566178798676, 0.3821435868740082, -0.25306129455566406, -0.8671806454658508, 0.09312500804662704, -0.07886325567960739, -0.2133556753396988, -0.06983808428049088, 0.346243292093277, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
8,45,False,maps,msg,False,17.2383,0.06658188,1.8420236,1.2061373,0.49134669999999997,1.1747738,-0.042567156,1530429794738.086,4,morn,-2,1530435434738.086,long,unknown,"[-0.29705610871315, -0.7454346418380737, -0.40604013204574585, 0.3151683807373047, 0.4054943025112152, 0.16705873608589172, 0.07685505598783493, -0.000646514177788049, -0.008114563301205635, -0.2136785089969635, -0.7219175100326538, 0.3446819484233856, -0.12535390257835388, -0.6511892080307007, -0.11023426800966263, 0.39222952723503113, -0.2856466472148895, -0.0746540054678917, 0.8077335357666016, 0.0200350284576416, -0.3308189809322357, -0.3769916594028473, 0.19434182345867157, 0.08845759183168411, -0.22638262808322906, -0.22066675126552582, 0.01789131388068199, 0.40204018354415894, -0.3210192918777466, 0.21131251752376556, -0.2180023342370987, 0.5564806461334229, -0.2784063220024109, -0.34101402759552, 0.593127965927124, -0.732060968875885, -0.3166813254356384, 0.38514700531959534, 0.396769255399704, 0.2315937727689743, -0.30262619256973267, -0.2278733104467392, 0.09297116845846176, 0.02237643487751484, 0.38987699151039124, -0.15782201290130615, -0.14017866551876068, -0.675588846206665, -0.03168913349509239, -0.295780211687088, 0.44675958156585693, -0.7627975344657898, 0.6358047127723694, -0.08180944621562958, 0.14215664565563202, -0.6175026893615723, -0.2808590531349182, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
9,5,True,googlequicksearchbox,unknown,True,3.776726,0.22994969999999998,0.43140757,0.1858437,-1.0455658,0.18356636,1.0013602,1530430274738.086,4,morn,0,1530430574738.086,short,unknown,"[-0.15522760152816772, 0.1602586805820465, -0.51402747631073, 0.16599434614181519, -0.1681099385023117, -0.028871824964880943, 0.13573722541332245, -0.05713567137718201, 0.013803940266370773, -0.2558591961860657, -0.366482138633728, 0.10868094861507416, -0.12464041262865067, 0.1609119474887848, 0.30371224880218506, 0.6624284982681274, -0.36736705899238586, -0.056233279407024384, -0.2619503140449524, -0.14056064188480377, -0.11747899651527405, -0.014641880989074707, -0.009463528171181679, -0.2605415880680084, -0.2811245322227478, 0.04202199727296829, -0.1336365044116974, -0.14513806998729706, -0.20098330080509186, 0.18495099246501923, 0.3000860810279846, -0.34738561511039734, -0.18693575263023376, -0.37249454855918884, 0.008464044891297817, -0.013007596135139465, 0.2899177074432373, -0.23858802020549774, 0.0959537997841835, 0.418962299823761, -0.34765884280204773, 0.06668660044670105, -0.4948941469192505, 0.1946016103029251, 0.0861329734325409, 0.561610758304596, -0.4935741722583771, -0.14412091672420502, -0.00046465187915600836, -0.4126763343811035, -0.25306129455566406, -0.8671806454658508, 0.09312500804662704, -0.07886325567960739, -0.2133556753396988, -0.06983808428049088, 0.346243292093277, -0.06983577460050583, -0.2529163956642151, 0.019473040476441383, 0.06371397525072098, -0.19701731204986572, 0.34813329577445984, 0.0063249110244214535, 0.07495183497667313, -0.0797000452876091, 0.21125808358192444, 0.17063601315021515, -0.6540923118591309, 0.38285526633262634, 0.03877948224544525]","[0.40348324179649353, 0.33928772807121277, -0.27244535088539124, 0.5972796082496643, 0.1291622519493103, -1.0481960773468018]"
